age_range,gender,duration_of_medication,review_date,condition,overall_rating,upvotes,drug_name
  19-24,Male,1 to 6 months,6/27/2021,Bipolar Disorder in Remission,1.3,1.0,Abilify oral
  19-24,Nonbinary,2 to less than 5 years,5/26/2021,Bipolar Disorder in Remission,3.7,2.0,Abilify oral
  35-44,Female,10 years or more,5/20/2021,Mania associated with Bipolar Disorder,3.7,2.0,Abilify oral
  25-34,Female,1 to 6 months,4/6/2021,Additional Medications to Treat Depression,5.0,2.0,Abilify oral
  19-24,Male,less than 1 month,4/6/2021,Additional Medications to Treat Depression,1.7,2.0,Abilify oral
  45-54,Female,less than 1 month,3/27/2021,Additional Medications to Treat Depression,4.3,2.0,Abilify oral
  25-34,Female,1 to 6 months,2/21/2021,Schizophrenia,5.0,2.0,Abilify oral
  25-34,Female,2 to less than 5 years,1/14/2021,Mania associated with Bipolar Disorder,3.0,2.0,Abilify oral
  35-44,Male,10 years or more,1/11/2021,Schizophrenia,1.0,1.0,Abilify oral
  19-24,Female,1 to less than 2 years,1/8/2021,Bipolar I Disorder with Most Recent Episode Mixed,2.3,2.0,Abilify oral
  35-44,Male,10 years or more,1/7/2021,Schizophrenia,3.7,2.0,Abilify oral
  45-54,Male,10 years or more,12/28/2020,Additional Medications to Treat Depression,5.0,2.0,Abilify oral
  35-44,Female,2 to less than 5 years,12/14/2020,Additional Medications to Treat Depression,1.7,2.0,Abilify oral
  55-64,,,12/10/2020,Additional Medications to Treat Depression,3.7,2.0,Abilify oral
  25-34,,,12/4/2020,Additional Medications to Treat Depression,4.7,3.0,Abilify oral
  35-44,Female,1 to 6 months,12/3/2020,Additional Medications to Treat Depression,5.0,3.0,Abilify oral
  35-44,Female,2 to less than 5 years,11/17/2020,Schizophrenia,5.0,,Abilify oral
,,,10/23/2020,Bipolar I Disorder with Most Recent Episode Mixed,4.0,,Abilify oral
,,,10/19/2020,Bipolar I Disorder with Most Recent Episode Mixed,2.0,,Abilify oral
,,,10/19/2020,Bipolar I Disorder with Most Recent Episode Mixed,2.3,,Abilify oral
,,,10/16/2020,Bipolar Disorder in Remission,3.7,,Abilify oral
,,,10/15/2020,Additional Medications to Treat Depression,4.0,,Abilify oral
,,,10/15/2020,Bipolar I Disorder with Most Recent Episode Mixed,3.3,,Abilify oral
,Male,,10/14/2020,Bipolar Disorder in Remission,2.0,1.0,Abilify oral
,,,10/13/2020,Bipolar Disorder in Remission,3.0,1.0,Abilify oral
,,,10/13/2020,Bipolar Disorder in Remission,3.0,,Abilify oral
,,,10/9/2020,Tourette's,1.3,,Abilify oral
,,,10/9/2020,Tourette's,1.3,,Abilify oral
,,,10/8/2020,Tourette's,4.0,,Abilify oral
,,,10/5/2020,Schizophrenia,3.0,,Abilify oral
,Male,,8/17/2020,Tourette's,2.0,,Abilify oral
  55-64,Female,10 years or more,8/14/2020,Bipolar I Disorder with Most Recent Episode Mixed,5.0,2.0,Abilify oral
,,,8/12/2020,Bipolar I Disorder with Most Recent Episode Mixed,3.0,1.0,Abilify oral
,Male,less than 1 month,7/30/2020,A Rare Developmental Disorder of Infants,1.0,1.0,Abilify oral
  19-24,Female,less than 1 month,7/22/2020,Additional Medications to Treat Depression,3.0,8.0,Abilify oral
  45-54,Male,2 to less than 5 years,7/12/2020,Additional Medications to Treat Depression,3.0,10.0,Abilify oral
  45-54,Male,less than 1 month,6/20/2020,Additional Medications to Treat Depression,4.0,9.0,Abilify oral
  65-74,,,4/27/2020,Additional Medications to Treat Depression,5.0,21.0,Abilify oral
  13-18,Male,2 to less than 5 years,4/16/2020,Additional Medications to Treat Depression,1.0,13.0,Abilify oral
  55-64,,,4/9/2020,Mania associated with Bipolar Disorder,4.0,2.0,Abilify oral
  55-64,Male,1 to 6 months,4/7/2020,Additional Medications to Treat Depression,4.3,2.0,Abilify oral
  35-44,Female,less than 1 month,4/3/2020,Additional Medications to Treat Depression,5.0,14.0,Abilify oral
  25-34,,,3/24/2020,Bipolar I Disorder with Most Recent Episode Mixed,1.7,2.0,Abilify oral
  35-44,,,2/1/2020,Bipolar I Disorder with Most Recent Episode Mixed,4.0,5.0,Abilify oral
  45-54,,,12/28/2019,Additional Medications to Treat Depression,1.7,8.0,Abilify oral
  45-54,,,12/6/2019,Additional Medications to Treat Depression,4.7,5.0,Abilify oral
  25-34,,,12/2/2019,Schizophrenia,5.0,1.0,Abilify oral
  55-64,,,11/20/2019,Additional Medications to Treat Depression,1.0,12.0,Abilify oral
,Male,,10/29/2019,Bipolar Disorder in Remission,3.0,,Abilify oral
,Female,1 to less than 2 years,9/3/2019,A Rare Developmental Disorder of Infants,4.0,1.0,Abilify oral
  65-74,Female,10 years or more,5/2/2021,Type 2 Diabetes Mellitus,2.0,2.0,Actos oral
  55-64,,,12/7/2019,Type 2 Diabetes Mellitus,1.0,9.0,Actos oral
  55-64,Female,less than 1 month,5/8/2019,Type 2 Diabetes Mellitus,1.7,8.0,Actos oral
,,,4/12/2019,Type 2 Diabetes Mellitus,2.3,16.0,Actos oral
  65-74,,,11/20/2018,Type 2 Diabetes Mellitus,3.0,6.0,Actos oral
  55-64,Male,10 years or more,11/9/2018,Type 2 Diabetes Mellitus,3.0,5.0,Actos oral
,,,8/21/2016,Type 2 Diabetes Mellitus,1.0,26.0,Actos oral
  75 or over,,,1/8/2016,Type 2 Diabetes Mellitus,5.0,19.0,Actos oral
  45-54,Female,5 to less than 10 years,9/9/2015,Type 2 Diabetes Mellitus,2.3,29.0,Actos oral
  45-54,Male,2 to less than 5 years,4/15/2015,Type 2 Diabetes Mellitus,2.7,39.0,Actos oral
  75 or over,Male,10 years or more,12/20/2014,Type 2 Diabetes Mellitus,4.0,10.0,Actos oral
  55-64,Female,5 to less than 10 years,10/5/2014,Type 2 Diabetes Mellitus,1.7,41.0,Actos oral
  45-54,Female,1 to 6 months,8/24/2014,Type 2 Diabetes Mellitus,4.0,22.0,Actos oral
  75 or over,Male,10 years or more,8/14/2014,Type 2 Diabetes Mellitus,5.0,11.0,Actos oral
  65-74,Female,1 to less than 2 years,7/4/2014,Type 2 Diabetes Mellitus,4.0,6.0,Actos oral
,Male,5 to less than 10 years,6/28/2014,Type 2 Diabetes Mellitus,3.7,16.0,Actos oral
  65-74,Female,2 to less than 5 years,4/8/2014,Type 2 Diabetes Mellitus,3.0,57.0,Actos oral
  65-74,Female,1 to 6 months,3/18/2014,Type 2 Diabetes Mellitus,2.3,63.0,Actos oral
,Male,2 to less than 5 years,3/2/2014,Type 2 Diabetes Mellitus,1.3,46.0,Actos oral
  55-64,Male,1 to less than 2 years,2/23/2014,Type 2 Diabetes Mellitus,3.0,30.0,Actos oral
  45-54,Male,,2/20/2014,Type 2 Diabetes Mellitus,3.7,,Actos oral
,Female,,2/5/2014,Type 2 Diabetes Mellitus,1.0,92.0,Actos oral
  45-54,Female,2 to less than 5 years,1/24/2014,Type 2 Diabetes Mellitus,1.0,94.0,Actos oral
  45-54,Male,6 months to less than 1 year,1/12/2014,Type 2 Diabetes Mellitus,1.7,77.0,Actos oral
  55-64,Male,5 to less than 10 years,11/25/2013,Type 2 Diabetes Mellitus,2.3,74.0,Actos oral
  55-64,Female,,11/11/2013,Type 2 Diabetes Mellitus,1.0,52.0,Actos oral
  55-64,Male,2 to less than 5 years,10/15/2013,Type 2 Diabetes Mellitus,1.0,130.0,Actos oral
,Male,10 years or more,9/10/2013,Type 2 Diabetes Mellitus,5.0,13.0,Actos oral
  65-74,Female,1 to 6 months,8/11/2013,Type 2 Diabetes Mellitus,2.0,43.0,Actos oral
  75 or over,Male,2 to less than 5 years,7/30/2013,Type 2 Diabetes Mellitus,3.7,16.0,Actos oral
  65-74,Female,1 to 6 months,6/29/2013,Type 2 Diabetes Mellitus,2.0,48.0,Actos oral
  75 or over,Male,2 to less than 5 years,6/4/2013,Type 2 Diabetes Mellitus,2.3,41.0,Actos oral
  65-74,Male,5 to less than 10 years,5/15/2013,Type 2 Diabetes Mellitus,4.7,17.0,Actos oral
  45-54,Male,5 to less than 10 years,4/25/2013,Type 2 Diabetes Mellitus,4.3,10.0,Actos oral
  55-64,,,2/6/2013,Type 2 Diabetes Mellitus,2.7,12.0,Actos oral
  65-74,Male,10 years or more,1/29/2013,Type 2 Diabetes Mellitus,5.0,3.0,Actos oral
  45-54,Female,1 to 6 months,1/29/2013,Type 2 Diabetes Mellitus,2.3,10.0,Actos oral
  65-74,Male,1 to 6 months,1/9/2013,Type 2 Diabetes Mellitus,4.7,3.0,Actos oral
  75 or over,Male,5 to less than 10 years,1/9/2013,Type 2 Diabetes Mellitus,1.7,44.0,Actos oral
  65-74,Female,5 to less than 10 years,11/27/2012,Type 2 Diabetes Mellitus,4.0,8.0,Actos oral
  55-64,Female,1 to less than 2 years,10/25/2012,Type 2 Diabetes Mellitus,3.3,14.0,Actos oral
  55-64,Male,1 to 6 months,10/18/2012,Type 2 Diabetes Mellitus,4.3,4.0,Actos oral
  65-74,Female,1 to 6 months,9/25/2012,Type 2 Diabetes Mellitus,4.0,3.0,Actos oral
  55-64,Male,6 months to less than 1 year,9/21/2012,Type 2 Diabetes Mellitus,3.0,38.0,Actos oral
  25-34,Female,1 to less than 2 years,9/20/2012,Type 2 Diabetes Mellitus,1.0,55.0,Actos oral
  45-54,Male,1 to less than 2 years,8/19/2012,Type 2 Diabetes Mellitus,5.0,9.0,Actos oral
  45-54,Female,1 to less than 2 years,7/24/2012,Type 2 Diabetes Mellitus,4.7,20.0,Actos oral
  55-64,Male,10 years or more,6/27/2012,Type 2 Diabetes Mellitus,3.7,5.0,Actos oral
  65-74,Male,1 to 6 months,6/20/2012,Type 2 Diabetes Mellitus,2.0,40.0,Actos oral
  45-54,Female,1 to 6 months,6/11/2012,Type 2 Diabetes Mellitus,3.3,13.0,Actos oral
  55-64,Male,1 to less than 2 years,6/6/2012,Type 2 Diabetes Mellitus,2.3,41.0,Actos oral
,Male,1 to 6 months,6/3/2012,Type 2 Diabetes Mellitus,1.0,35.0,Actos oral
  55-64,Female,1 to 6 months,4/25/2012,Type 2 Diabetes Mellitus,1.7,53.0,Actos oral
  55-64,Female,2 to less than 5 years,4/19/2012,Type 2 Diabetes Mellitus,3.7,4.0,Actos oral
  55-64,Female,1 to 6 months,4/6/2012,Type 2 Diabetes Mellitus,2.0,38.0,Actos oral
,Male,2 to less than 5 years,4/6/2012,Type 2 Diabetes Mellitus,2.3,31.0,Actos oral
,Male,1 to less than 2 years,4/5/2012,Type 2 Diabetes Mellitus,2.0,23.0,Actos oral
,Male,6 months to less than 1 year,4/3/2012,Type 2 Diabetes Mellitus,4.7,4.0,Actos oral
,Female,5 to less than 10 years,3/14/2012,Type 2 Diabetes Mellitus,3.7,28.0,Actos oral
,Male,2 to less than 5 years,3/11/2012,Type 2 Diabetes Mellitus,5.0,9.0,Actos oral
  65-74,Male,2 to less than 5 years,2/9/2012,Type 2 Diabetes Mellitus,4.3,7.0,Actos oral
  55-64,Female,1 to less than 2 years,2/8/2012,Type 2 Diabetes Mellitus,2.3,38.0,Actos oral
  55-64,Male,5 to less than 10 years,2/2/2012,Type 2 Diabetes Mellitus,5.0,5.0,Actos oral
  65-74,Male,5 to less than 10 years,1/26/2012,Type 2 Diabetes Mellitus,4.3,5.0,Actos oral
  45-54,Female,2 to less than 5 years,1/24/2012,Type 2 Diabetes Mellitus,3.0,9.0,Actos oral
,Male,1 to less than 2 years,1/23/2012,Type 2 Diabetes Mellitus,3.3,11.0,Actos oral
  65-74,Female,less than 1 month,1/20/2012,Type 2 Diabetes Mellitus,2.7,23.0,Actos oral
  55-64,Male,10 years or more,1/20/2012,Type 2 Diabetes Mellitus,5.0,6.0,Actos oral
,,,1/4/2012,Type 2 Diabetes Mellitus,5.0,5.0,Actos oral
  45-54,Female,2 to less than 5 years,1/3/2012,Type 2 Diabetes Mellitus,1.0,42.0,Actos oral
  55-64,Male,2 to less than 5 years,12/29/2011,Type 2 Diabetes Mellitus,5.0,2.0,Actos oral
,Male,6 months to less than 1 year,12/22/2011,Type 2 Diabetes Mellitus,2.3,18.0,Actos oral
  65-74,Female,1 to 6 months,12/17/2011,Type 2 Diabetes Mellitus,2.3,30.0,Actos oral
,Female,6 months to less than 1 year,12/12/2011,Type 2 Diabetes Mellitus,4.0,1.0,Actos oral
,Male,,12/4/2011,Type 2 Diabetes Mellitus,5.0,4.0,Actos oral
,Female,1 to 6 months,11/22/2011,Type 2 Diabetes Mellitus,1.0,16.0,Actos oral
  55-64,Female,1 to 6 months,11/11/2011,Type 2 Diabetes Mellitus,1.7,27.0,Actos oral
,Female,2 to less than 5 years,11/8/2011,Type 2 Diabetes Mellitus,4.7,4.0,Actos oral
,Male,5 to less than 10 years,11/8/2011,Type 2 Diabetes Mellitus,5.0,6.0,Actos oral
  55-64,Male,2 to less than 5 years,11/6/2011,Type 2 Diabetes Mellitus,2.3,33.0,Actos oral
  55-64,Male,1 to less than 2 years,10/28/2011,Type 2 Diabetes Mellitus,1.0,36.0,Actos oral
,,,10/27/2011,Type 2 Diabetes Mellitus,2.0,6.0,Actos oral
  65-74,Male,1 to less than 2 years,10/18/2011,Type 2 Diabetes Mellitus,2.3,29.0,Actos oral
  35-44,Male,5 to less than 10 years,10/8/2011,Type 2 Diabetes Mellitus,5.0,14.0,Actos oral
  45-54,Female,1 to 6 months,10/7/2011,Type 2 Diabetes Mellitus,3.0,15.0,Actos oral
  55-64,Female,2 to less than 5 years,10/5/2011,Type 2 Diabetes Mellitus,5.0,5.0,Actos oral
,Female,1 to less than 2 years,10/5/2011,Type 2 Diabetes Mellitus,5.0,3.0,Actos oral
,Male,1 to less than 2 years,10/5/2011,Type 2 Diabetes Mellitus,4.0,1.0,Actos oral
,Female,2 to less than 5 years,9/24/2011,Type 2 Diabetes Mellitus,3.0,26.0,Actos oral
  45-54,Female,1 to less than 2 years,9/23/2011,Type 2 Diabetes Mellitus,2.3,28.0,Actos oral
  65-74,Male,1 to 6 months,9/22/2011,Type 2 Diabetes Mellitus,4.7,4.0,Actos oral
  45-54,Male,2 to less than 5 years,9/21/2011,Type 2 Diabetes Mellitus,5.0,10.0,Actos oral
,Male,1 to 6 months,9/14/2011,Type 2 Diabetes Mellitus,3.3,10.0,Actos oral
  55-64,Female,,9/9/2011,Type 2 Diabetes Mellitus,1.0,39.0,Actos oral
  55-64,Male,2 to less than 5 years,8/31/2011,Type 2 Diabetes Mellitus,2.0,46.0,Actos oral
  65-74,Male,5 to less than 10 years,8/25/2011,Type 2 Diabetes Mellitus,3.3,10.0,Actos oral
,Male,1 to 6 months,8/22/2011,Type 2 Diabetes Mellitus,2.3,15.0,Actos oral
  55-64,Male,2 to less than 5 years,8/20/2011,Type 2 Diabetes Mellitus,3.3,17.0,Actos oral
  65-74,Male,1 to 6 months,8/18/2011,Type 2 Diabetes Mellitus,2.3,5.0,Actos oral
  65-74,Male,1 to 6 months,8/16/2011,Type 2 Diabetes Mellitus,4.0,1.0,Actos oral
  45-54,Female,1 to 6 months,8/16/2011,Type 2 Diabetes Mellitus,5.0,3.0,Actos oral
  45-54,Female,10 years or more,8/16/2011,Type 2 Diabetes Mellitus,3.0,20.0,Actos oral
  55-64,Male,less than 1 month,8/14/2011,Type 2 Diabetes Mellitus,3.3,9.0,Actos oral
  65-74,Female,1 to 6 months,8/10/2011,Type 2 Diabetes Mellitus,2.7,18.0,Actos oral
,Female,,8/4/2011,Type 2 Diabetes Mellitus,3.3,,Actos oral
  55-64,,,8/4/2011,Type 2 Diabetes Mellitus,1.0,15.0,Actos oral
  25-34,Female,1 to 6 months,7/31/2011,Type 2 Diabetes Mellitus,1.7,35.0,Actos oral
  35-44,Female,1 to 6 months,7/26/2011,Type 2 Diabetes Mellitus,4.3,9.0,Actos oral
  65-74,Female,2 to less than 5 years,7/16/2011,Type 2 Diabetes Mellitus,5.0,4.0,Actos oral
  45-54,Female,2 to less than 5 years,7/14/2011,Type 2 Diabetes Mellitus,5.0,12.0,Actos oral
,Female,1 to 6 months,7/13/2011,Type 2 Diabetes Mellitus,1.7,18.0,Actos oral
,Female,,9/28/2022,Shingles,1.0,1.0,acyclovir oral
,Female,,7/7/2022,Prevent Shingles in Patients Without a Normal Immune System,2.3,1.0,acyclovir oral
  19-24,Female,less than 1 month,6/22/2022,Cold Sore,5.0,1.0,acyclovir oral
  75 or over,Male,less than 1 month,6/1/2022,Genital Herpes,4.3,1.0,acyclovir oral
  19-24,Female,less than 1 month,4/14/2022,Genital Herpes,4.7,1.0,acyclovir oral
  19-24,Female,1 to 6 months,3/30/2022,Prevent Recurrent Herpes Simplex Infection,5.0,1.0,acyclovir oral
  75 or over,Male,6 months to less than 1 year,10/19/2021,Genital Herpes,5.0,1.0,acyclovir oral
  65-74,Female,10 years or more,7/29/2021,Genital Herpes,5.0,2.0,acyclovir oral
  35-44,Female,1 to less than 2 years,7/21/2021,Cold Sore,5.0,2.0,acyclovir oral
  19-24,Male,less than 1 month,6/10/2021,Shingles,5.0,1.0,acyclovir oral
  45-54,Male,less than 1 month,9/9/2020,Cold Sore,4.3,2.0,acyclovir oral
  65-74,,,8/7/2020,Prevent Shingles in Patients Without a Normal Immune System,2.3,1.0,acyclovir oral
  65-74,,,8/7/2020,Prevent Shingles in Patients Without a Normal Immune System,2.3,,acyclovir oral
  55-64,Male,6 months to less than 1 year,7/10/2020,Shingles,4.3,7.0,acyclovir oral
  55-64,,,7/8/2020,Shingles,2.7,7.0,acyclovir oral
  19-24,Female,2 to less than 5 years,12/12/2019,Genital Herpes,4.7,3.0,acyclovir oral
,Female,1 to less than 2 years,9/11/2019,Genital Herpes,4.0,3.0,acyclovir oral
,Male,2 to less than 5 years,8/25/2019,Cold Sore,5.0,2.0,acyclovir oral
  55-64,,,5/20/2019,Shingles,4.0,7.0,acyclovir oral
  35-44,Female,2 to less than 5 years,2/2/2019,Cold Sore,5.0,4.0,acyclovir oral
  65-74,,,1/2/2019,Cold Sore,5.0,1.0,acyclovir oral
  35-44,Female,6 months to less than 1 year,11/12/2018,Genital Herpes,4.0,3.0,acyclovir oral
,Female,less than 1 month,11/2/2018,Cold Sore,2.0,1.0,acyclovir oral
  25-34,,,6/12/2018,Chickenpox,4.3,3.0,acyclovir oral
  55-64,,,4/15/2018,Shingles,5.0,17.0,acyclovir oral
  65-74,,,2/2/2018,Herpes Infection of the Eye,5.0,5.0,acyclovir oral
,,,1/15/2018,Shingles,5.0,10.0,acyclovir oral
  25-34,Female,6 months to less than 1 year,1/8/2018,Cold Sore,4.7,2.0,acyclovir oral
  55-64,,,12/17/2017,Shingles,5.0,13.0,acyclovir oral
,Female,,11/6/2017,Shingles,4.0,28.0,acyclovir oral
  55-64,Female,,8/5/2017,Shingles,4.3,24.0,acyclovir oral
  55-64,,,7/29/2017,Shingles,4.7,13.0,acyclovir oral
  55-64,,,4/30/2017,Shingles,1.0,20.0,acyclovir oral
  55-64,Female,5 to less than 10 years,3/25/2017,Genital Herpes,5.0,7.0,acyclovir oral
  55-64,Female,5 to less than 10 years,3/25/2017,Herpes Simplex Infection,5.0,1.0,acyclovir oral
,Female,10 years or more,3/4/2017,Cold Sore,5.0,4.0,acyclovir oral
  45-54,,,3/1/2017,Shingles,4.7,16.0,acyclovir oral
  45-54,Female,10 years or more,2/26/2017,Prevent Recurrent Herpes Simplex Infection,2.7,,acyclovir oral
  35-44,Female,less than 1 month,2/15/2017,Shingles,3.0,15.0,acyclovir oral
  35-44,Female,2 to less than 5 years,1/20/2017,Genital Herpes,2.0,3.0,acyclovir oral
,Male,less than 1 month,1/13/2017,Herpes Simplex Infection,2.0,1.0,acyclovir oral
,,,10/28/2016,Shingles,2.3,18.0,acyclovir oral
  55-64,Female,less than 1 month,10/24/2016,Shingles,4.0,20.0,acyclovir oral
,,,10/10/2016,Shingles,3.0,15.0,acyclovir oral
  35-44,,,9/22/2016,Genital Herpes,1.0,4.0,acyclovir oral
,,,9/11/2016,Shingles,3.0,14.0,acyclovir oral
  75 or over,Female,less than 1 month,9/4/2016,Cold Sore,2.7,2.0,acyclovir oral
  35-44,,,5/18/2016,Prevent Recurrent Herpes Simplex Infection,5.0,2.0,acyclovir oral
  45-54,Male,10 years or more,5/17/2016,Genital Herpes,5.0,39.0,acyclovir oral
  55-64,,,4/26/2016,Genital Herpes,4.7,10.0,acyclovir oral
  45-54,,,4/19/2016,Shingles,4.3,34.0,acyclovir oral
  25-34,Male,less than 1 month,4/10/2016,Shingles,5.0,19.0,acyclovir oral
,,,3/23/2016,Genital Herpes,4.0,12.0,acyclovir oral
  25-34,Female,1 to 6 months,3/23/2016,Genital Herpes,5.0,3.0,acyclovir oral
  65-74,Male,10 years or more,3/21/2016,Genital Herpes,4.0,5.0,acyclovir oral
  45-54,Female,1 to 6 months,3/21/2016,Shingles,5.0,9.0,acyclovir oral
  55-64,Female,less than 1 month,2/20/2016,Shingles,2.3,13.0,acyclovir oral
,Female,10 years or more,2/12/2016,Cold Sore,5.0,9.0,acyclovir oral
  55-64,,,2/9/2016,Cold Sore,5.0,3.0,acyclovir oral
  45-54,Male,5 to less than 10 years,2/1/2016,Cold Sore,5.0,1.0,acyclovir oral
,Male,less than 1 month,1/28/2016,Chickenpox,5.0,1.0,acyclovir oral
  65-74,Female,less than 1 month,11/23/2015,Shingles,4.3,14.0,acyclovir oral
  45-54,Female,less than 1 month,11/8/2015,Shingles,4.3,16.0,acyclovir oral
  65-74,Female,less than 1 month,10/24/2015,Shingles,4.0,13.0,acyclovir oral
  55-64,Female,less than 1 month,5/12/2015,Shingles,4.3,25.0,acyclovir oral
  65-74,Male,2 to less than 5 years,3/14/2015,Prevent Shingles in Patients Without a Normal Immune System,5.0,1.0,acyclovir oral
  55-64,Female,1 to 6 months,2/5/2015,Shingles,5.0,34.0,acyclovir oral
  55-64,Male,10 years or more,1/19/2015,Genital Herpes,5.0,29.0,acyclovir oral
  55-64,Female,10 years or more,1/17/2015,Prevent Recurrent Herpes Simplex Infection,5.0,5.0,acyclovir oral
  35-44,,,1/2/2015,Genital Herpes,5.0,11.0,acyclovir oral
,Male,1 to less than 2 years,11/19/2014,Genital Herpes,5.0,12.0,acyclovir oral
,Female,,11/7/2014,Cold Sore,5.0,9.0,acyclovir oral
  55-64,Female,1 to less than 2 years,10/10/2014,Cold Sore,2.3,,acyclovir oral
  55-64,Male,less than 1 month,9/23/2014,Shingles,3.3,24.0,acyclovir oral
,Female,less than 1 month,9/16/2014,Herpes Simplex Infection,5.0,,acyclovir oral
